Device_Manufacturer,Device_ManufacturerBrandName,Device_Model,Device_ModelBrandName,Device_OS,Device_OSBrandName,Device_Language,Device_Locale,Device_ScreenWidth,Device_ScreenHeight,Device_Storage,Device_UsedStorage,Device_FreeStorage,Device_Memory,Device_UsedMemory,Device_FreeMemory,Device_CPU,Device_BatteryLevel,Device_BatteryState,Device_SystemUptime,Device_Speed,Device_Bearing,Device_SIMMCC,Device_SIMMNC,Device_SIMServiceProvider,Device_SIMServiceProviderBrandName,Connection_Start,Connection_End,Connection_Timezone,Connection_Type,Connection_Technology,Connection_GenerationCategory,Connection_MCC,Connection_MNC,Connection_LAC,Connection_CID,Connection_ServiceProvider,Connection_ServiceProviderBrandName,Connection_MobileChannel,Connection_BSIC,Connection_PCI,Connection_BSSID,Connection_SSID,Connection_WifiFrequency,Location_Latitude,Location_Longitude,Location_Altitude,Location_HorizontalAccuracy,Location_VerticalAccuracy,Location_Country,Location_Region,Location_City,Location_Geohash,QOS_Date,QOS_UploadThroughput,QOS_UploadThroughputTestSize,QOS_DownloadThroughput,QOS_DownloadThroughputTestSize,QOS_LatencyAverage,QOS_JitterAverage,QOS_PacketLossLostPercentage,QOS_LinkSpeed,QOS_SignalStrength,QOS_DeltaTransmittedBytes,QOS_DeltaReceivedBytes,QOS_RSRP,QOS_RSRQ,QOS_RSSNR,QOS_CQI,QOS_TA
samsung,Samsung,GT-N7000,Galaxy Note,ANDROID60,Android 6.0,lt,LT,1280,800,17968971776,12951904256,5017067520,848617472,671195136,177422336,0.71,0.15000000596046448,Charging,20666246,null,null,246,3,TELE2,Tele2,2017-08-09 10:52:24 UTC,2017-08-09 10:52:25 UTC,10800,MOBILE,HSDPA,3G,246,3,651,2983689,Tele2 LT,Tele2,null,null,null,null,null,null,56.0362818,21.0843606,null,25.0,null,Lithuania,Klaipėda,null,u3yyzc15j0,2017-08-09 10:52:25 UTC,null,null,null,null,null,null,null,null,null,1544,5129,null,null,null,null,null
motorola,Motorola,MotoG3,Moto G3,ANDROID60,Android 6.0,en,GB,1280,720,20645412864,13392457728,7252955136,2007425024,1434775552,572649472,0.49,0.7900000214576721,Unplugged,1498151633,null,null,234,10,giffgaff,O2,2017-08-21 12:30:46 UTC,2017-08-21 12:30:46 UTC,3600,MOBILE,LTE,4G,234,10,512,129217410,giffgaff,O2,null,null,476,null,null,null,51.9127486,-0.5140736,null,122.0,null,United Kingdom,England,null,gcpxk63ttj,2017-08-21 12:30:46 UTC,null,null,null,null,null,null,null,null,null,14012,22648,null,null,null,null,null
Meizu,Meizu,U20,null,ANDROID60,Android 6.0,ru,RU,1920,1080,26746085376,4857208832,21888876544,2923663360,2053451776,870211584,0.5,0.5799999833106995,NotCharging,261220915,null,null,255,6,lifecell,lifecell,2017-08-06 11:18:38 UTC,2017-08-06 11:26:54 UTC,10800,MOBILE,UMTS,3G,255,6,32916,74852614,lifecell,lifecell,null,null,null,null,null,null,48.4535322,35.0748122,null,1377.0,null,Ukraine,Dnipropetrovs'k,null,ub8gwhswq3,2017-08-06 11:26:54 UTC,null,null,null,null,null,null,null,null,null,35019,52176,null,null,null,null,null
bq,BQ,Aquaris U Plus,null,ANDROID71,Android 7.1,es,ES,1280,720,26407079936,9103945728,17303134208,1975513088,1532153856,443359232,0.28,0.5299999713897705,Charging,24128645,30.40999984741211,182.0,214,3,Orange,Orange,2017-07-23 13:56:06 UTC,2017-07-23 13:56:08 UTC,7200,MOBILE,HSPA,3G,214,3,18110,236099745,Orange SP,Orange,2959,null,null,null,null,null,39.907969,-0.195568,151.0,4.0,null,Spain,Valenciana,null,ezpg5918fb,2017-07-23 13:56:08 UTC,null,null,null,null,null,null,null,null,null,2000,0,null,null,null,null,null
Huawei,Huawei,Nexus 6P,Nexus 6P,ANDROID71,Android 7.1,en,US,2560,1440,26854621184,15930638336,10923982848,2935287808,2350112768,585175040,0.19,0.49000000953674316,Unplugged,292444087,null,null,310,260,Fi Network,T-Mobile,2017-07-21 16:08:51 UTC,2017-07-21 16:08:56 UTC,7200,MOBILE,UNKNOWN,UNKNOWN,null,null,null,null,Fi Network,null,null,null,null,null,null,null,51.9613376,5.1181024,null,1000.0,null,Netherlands,Utrecht,Vianen,u15xs7qbsr,2017-07-21 16:08:51 UTC,null,null,null,null,null,null,null,null,-61,83,0,null,null,null,null,null
Samsung,Samsung,GT-N7000,null,ANDROID44,Android 4.4,de,DE,1280,800,30158274560,7000641536,23157633024,815996928,575197184,240799744,0.97,0.5799999833106995,Unplugged,1073239087,null,null,262,1,,Telekom,2017-07-22 01:08:03 UTC,2017-07-22 01:08:05 UTC,7200,MOBILE,UMTS,3G,262,1,4281,486105,Telekom.de,Telekom,null,null,null,null,null,null,49.8620283,7.809044,null,1600.0,null,Germany,Rhineland-Palatinate,null,u0ve9tn77g,2017-07-22 01:08:05 UTC,null,null,null,null,null,null,null,null,null,0,0,null,null,null,null,null
samsung,Samsung,SM-A520F,null,ANDROID60,Android 6.0,fr,FR,1920,1080,25195294720,10089398272,15105896448,2949185536,2209361920,739823616,0.35,0.7300000190734863,Unplugged,1165985742,null,null,208,1,Orange F,Orange,2017-07-21 19:14:23 UTC,2017-07-21 19:15:03 UTC,3600,MOBILEROAMING,LTE,4G,268,1,3,1202949,vodafone P,Vodafone,null,null,124,null,null,null,38.9554125,-9.4106711,null,52.0,null,Portugal,Lisboa,Mafra,eycm9ge7er,2017-07-21 19:14:23 UTC,null,null,null,null,null,null,null,null,-82,0,0,-82,-9,170,2,6
samsung,Samsung,GT-P5200,Galaxy Tab 3 10.1,ANDROID44,Android 4.4,pl,PL,1280,800,12438888448,10323451904,2115436544,971800576,839774208,132026368,0.44,0.4699999988079071,Unplugged,20467889,1.3386815786361694,263.6965637207031,260,2,T-Mobile.pl,T-Mobile,2017-08-03 14:28:51 UTC,2017-08-03 14:29:49 UTC,7200,MOBILE,HSDPA,3G,260,2,58110,42191569,T-Mobile.pl,T-Mobile,null,null,null,null,null,null,52.432082662346,21.447985679354893,93.96160875355989,128.0,null,Poland,Masovian,null,u3r620czn2,2017-08-03 14:28:53 UTC,null,null,null,null,574.0,0.112406,0.0,null,-71,652,718,null,null,null,null,null
LENOVO,Lenovo,Lenovo P2a42,null,ANDROID60,Android 6.0,pl,PL,1920,1080,57430011904,13490372608,43939639296,3778416640,2160173056,1618243584,0.12,0.44999998807907104,Unplugged,1360044468,null,null,260,2,T-Mobile.pl,T-Mobile,2017-08-23 07:28:10 UTC,2017-08-23 07:29:35 UTC,7200,MOBILE,HSPAP,3G,260,2,58400,40088980,T-Mobile.pl,T-Mobile,null,null,null,null,null,null,51.4983603,23.5444533,null,2000.0,null,Poland,Lublin,null,u90szybx9w,2017-08-23 07:28:10 UTC,null,null,null,null,null,null,null,null,-103,1344,363,null,null,null,null,null
samsung,Samsung,GT-N7100,Galaxy Note II,ANDROID44,Android 4.4,tr,TR,1280,720,13205757952,10469961728,2735796224,1871650816,1562292224,309358592,0.97,0.5699999928474426,Unplugged,78177414,1.6989349126815796,140.64964294433594,286,2,,Vodafone,2017-05-16 10:47:14 UTC,2017-05-16 10:48:04 UTC,10800,MOBILE,HSDPA,3G,286,2,31772,70264260,VODAFONE TR,Vodafone,null,null,null,null,null,null,40.019045248244595,27.052561193104054,186.67870564743956,96.0,null,Turkey,Canakkale,Çan,sx55xt5pf6,2017-05-16 10:47:14 UTC,null,null,null,null,null,null,null,null,-89,100,100,null,null,null,null,null
Sony,Sony,F8331,Xperia XZ,ANDROID70,Android 7.0,cs,CZ,1920,1080,55060148224,26937569280,28122578944,2908045312,1876414464,1031630848,0.18,0.5,Unplugged,582189556,null,null,230,3,Vodafone CZ,Vodafone,2017-08-22 13:17:24 UTC,2017-08-22 13:19:02 UTC,7200,MOBILE,LTE,4G,230,3,37200,542733,Vodafone CZ,Vodafone,6400,null,186,null,null,null,49.8655241,14.2498587,null,25.0,null,Czech Republic,Stredoceský,null,u2f5sm8rtz,2017-08-22 13:17:24 UTC,null,null,null,null,null,null,null,null,-80,0,0,-80,-7,null,null,3
Sony,Sony,E6653,Xperia Z5,ANDROID71,Android 7.1,de,,1920,1080,40403853312,20476661760,19927191552,2933616640,2105626624,827990016,0.11,0.9200000166893005,Unplugged,178526568,null,null,262,2,,Vodafone,2017-08-18 06:20:46 UTC,2017-08-18 06:20:49 UTC,7200,MOBILE,HSPA,3G,262,2,8306,246203299,Vodafone.de,Vodafone,10564,null,null,null,null,null,48.3310176,11.4549407,null,1799.0,null,Germany,Bavaria,null,u284uwmhx6,2017-08-18 06:20:46 UTC,null,null,null,null,null,null,null,null,-109,0,0,null,null,null,null,null
Sony,Sony,F5121,Xperia X,ANDROID71,Android 7.1,de,DE,1920,1080,85588119552,32825090048,52763029504,2988183552,2355855360,632328192,0.19,0.3199999928474426,Charging,177274620,30.6299991607666,215.0,262,2,1&1,Vodafone,2017-08-28 15:30:56 UTC,2017-08-28 15:31:04 UTC,7200,MOBILE,HSPA,3G,262,2,4308,98850927,Vodafone.de,Vodafone,10612,null,null,null,null,null,50.9637797,6.3620877,146.0,4.0,null,Germany,North Rhine-Westphalia,Jülich,u1h9bv8tx3,2017-08-28 15:31:04 UTC,null,null,null,null,null,null,null,null,null,3663,8071,null,null,null,null,null
Sony,Sony,F5121,Xperia X,ANDROID71,Android 7.1,de,DE,1920,1080,53051854848,40358801408,12693053440,2988183552,1810104320,1178079232,0.43,0.699999988079071,Unplugged,1028706269,null,null,262,2,,Vodafone,2017-09-07 10:37:51 UTC,2017-09-07 10:38:07 UTC,7200,MOBILE,LTE,4G,262,2,49703,3032577,Vodafone.de,Vodafone,6300,null,497,null,null,null,53.1288502,12.1729291,null,3635.0,null,Germany,Brandenburg,null,u32wjpb1cz,2017-09-07 10:37:51 UTC,null,null,null,null,null,null,null,null,-112,64,0,-112,-10,52,null,21
samsung,Samsung,SM-A310F,Galaxy A3,ANDROID60,Android 6.0,de,DE,1280,720,43344781312,32421122048,10923659264,1436852224,1087774720,349077504,0.36,0.8199999928474426,Unplugged,81422082,null,null,262,2,,Vodafone,2017-08-04 15:56:47 UTC,2017-08-04 15:56:49 UTC,7200,MOBILE,LTE,4G,262,2,45121,13175304,Vodafone.de,Vodafone,null,null,322,null,null,null,51.5166059,7.4892417,null,19.0,null,Germany,North Rhine-Westphalia,Dortmund,u1jm46m3zz,2017-08-04 15:56:49 UTC,null,null,null,null,null,null,null,null,null,1484,5664,null,null,null,null,null
samsung,Samsung,SM-G903F,Galaxy S5 Neo,ANDROID60,Android 6.0,de,DE,1920,1080,11700232192,8821211136,2879021056,1944629248,1654194176,290435072,0.69,0.5299999713897705,Unplugged,3073495655,null,null,262,2,,Vodafone,2017-08-06 19:41:27 UTC,2017-08-06 19:43:28 UTC,7200,MOBILE,LTE,4G,262,2,49503,2636291,Vodafone.de,Vodafone,null,null,296,null,null,null,52.301974,13.0108778,null,1500.0,null,Germany,Brandenburg,null,u3338161p6,2017-08-06 19:41:27 UTC,null,null,null,null,null,null,null,null,-102,2342,5284,-102,-11,-10,2,22
samsung,Samsung,SM-G920F,Galaxy S6,ANDROID70,Android 7.0,es,ES,2560,1440,27300769792,26218643456,1082126336,2812588032,2012729344,799858688,0.14,0.949999988079071,Unplugged,99109453,null,null,214,1,,Vodafone,2017-07-30 19:49:58 UTC,2017-07-30 19:55:50 UTC,7200,MOBILE,LTE,4G,214,1,3602,116893185,vodafone ES,Vodafone,0,null,327,null,null,null,39.969774,-4.8217593,null,20.238000869750977,null,Spain,Castile-La Mancha,Talavera de la Reina,ezhe6k2buc,2017-07-30 19:55:38 UTC,null,null,null,null,null,null,null,null,-84,32070,48439,-84,-7,190,14,3
vernee,vernee,Apollo,null,ANDROID60,Android 6.0,hu,HU,2560,1440,57787334656,5925511168,51861823488,4006547456,1892659200,2113888256,0.84,0.8799999952316284,Charging,176633207,16.317724227905273,120.0,216,70,vodafone HU,Vodafone,2017-07-13 04:03:41 UTC,2017-07-13 04:04:20 UTC,7200,MOBILE,LTE,4G,216,70,3116,373259,vodafone HU,Vodafone,null,null,244,null,null,null,47.5716133,18.898535,325.0,5.0,null,Hungary,null,null,u2mqwh1kxz,2017-07-13 04:04:20 UTC,null,null,null,null,null,null,null,null,null,3573,12712,null,null,null,null,null
Meizu,Meizu,m3 note,Meizu m3 note,ANDROID51,Android 5.1,it,,1920,1080,57921511424,23504236544,34417274880,2828115968,1623724032,1204391936,0.81,1.0,NotCharging,19711682,null,null,222,10,vodafone IT,Vodafone,2017-07-09 01:16:00 UTC,2017-07-09 01:29:50 UTC,7200,MOBILE,HSPA,3G,222,10,null,null,vodafone IT,Vodafone,null,null,null,null,null,null,40.8710147,14.4192657,null,64.0,null,Italy,Campania,Somma Vesuviana,sr62807fcj,2017-07-09 01:29:50 UTC,null,null,null,null,null,null,null,null,null,11709,13484,null,null,null,null,null
samsung,Samsung,SM-G920F,Galaxy S6,ANDROID70,Android 7.0,it,IT,2560,1440,27146846208,24455229440,2691616768,2812588032,1900118016,912470016,0.0,0.6600000262260437,Unplugged,38102850,null,null,222,10,,Vodafone,2017-08-08 03:11:36 UTC,2017-08-08 03:12:59 UTC,7200,MOBILE,LTE,4G,222,10,43050,20137739,vodafone IT,Vodafone,0,null,54,null,null,null,41.1209132,13.8728865,null,42.0,null,Italy,Campania,Mondragone,sr3cgtvftt,2017-08-08 03:11:36 UTC,null,null,null,null,null,null,null,null,-113,60,0,-113,-6,70,10,34
LGE,LGE,LG-D802TR,G2,ANDROID44,Android 4.4,tr,TR,1920,1080,26623651840,26021064704,602587136,1943035904,1462407168,480628736,0.54,0.2199999988079071,Charging,18364986,null,null,286,3,,Turk Telekom,2017-05-14 11:28:38 UTC,2017-05-14 11:28:58 UTC,10800,MOBILE,HSPA,3G,286,3,40618,21138672,Turk Telekom,Turk Telekom,null,null,null,null,null,null,39.93532086,32.81691823,914.0,13.0,null,Turkey,Ankara,Yenimahalle,sxp74y081e,2017-05-14 11:28:38 UTC,null,null,null,null,null,null,null,null,-79,0,0,null,null,null,null,null
samsung,Samsung,SM-G920F,Galaxy S6,ANDROID70,Android 7.0,de,DE,2560,1440,27300769792,16949968896,10350800896,2812588032,1985691648,826896384,0.01,0.8799999952316284,Unplugged,255273964,null,null,262,2,mobilcom-debitel,Vodafone,2017-09-05 05:45:07 UTC,2017-09-05 05:45:08 UTC,7200,MOBILE,HSUPA,3G,262,2,1452,43443365,mobilcom-debitel,Vodafone,0,null,null,null,null,null,54.6181669,8.9628595,null,50.0,null,Germany,Schleswig-Holstein,null,u1wqeyytcu,2017-09-05 05:45:07 UTC,null,null,null,null,null,null,null,null,-51,0,0,null,null,null,null,null
Sony,Sony,D5803,Xperia Z3,ANDROID60,Android 6.0,de,DE,1280,720,76257263616,14949326848,61307936768,1860255744,1280245760,580009984,0.75,1.0,Charging,779796018,null,null,262,1,congstar,Telekom,2017-07-29 20:47:13 UTC,2017-07-29 23:11:30 UTC,7200,WIFI,UNKNOWN,UNKNOWN,null,null,null,null,null,null,null,null,null,c0:25:06:af:1b:a9,FRITZ!Box Fon WLAN 7390,2457,48.3731383,13.1196068,null,3031.0,null,Germany,Bavaria,null,u2974w13uy,2017-07-29 20:47:13 UTC,null,null,null,null,null,null,null,39,-56,75,40,null,null,null,null,null
Sony,Sony,SGP311,SGP311,ANDROID44,Android 4.4,lt,LT,1920,1200,12200022016,11676241920,523780096,1862656000,1171922944,690733056,0.12,0.7400000095367432,Unplugged,2959358,null,null,null,null,,null,2017-07-06 12:56:30 UTC,2017-07-06 12:56:38 UTC,3600,WIFI,UNKNOWN,UNKNOWN,null,null,null,null,null,null,null,null,null,ec:08:6b:8b:0e:1a,Evaldas,2442,55.17904191,24.96318106,178.0,11.0,null,Lithuania,null,null,u9ccbj19hq,2017-07-06 12:56:38 UTC,null,null,null,null,null,null,null,null,null,2944,3746,null,null,null,null,null
samsung,Samsung,SM-T113,Galaxy Tab 3 Lite Value Edition,ANDROID44,Android 4.4,tr,TR,1024,600,5716463616,5162971136,553492480,1001459712,659832832,341626880,0.27,0.05999999865889549,Unplugged,1539092860,0.21713224053382874,16.04781723022461,null,null,,null,2017-09-09 15:57:29 UTC,2017-09-09 15:59:37 UTC,10800,WIFI,UNKNOWN,UNKNOWN,null,null,null,null,null,null,null,null,null,d4:61:2e:8e:18:63,SUPERONLINE_WiFi_3063,2437,39.951157931405255,32.730159707893044,896.0958610324142,16.0,null,Turkey,Ankara,Yenimahalle,sxp72bck7g,2017-09-09 15:59:37 UTC,null,null,null,null,null,null,null,null,null,1432,492,null,null,null,null,null
samsung,Samsung,SM-T315,Galaxy Tab 3 8.0,ANDROID44,Android 4.4,nl,NL,1280,800,12550578176,7104847872,5445730304,1429004288,1220608000,208396288,0.97,0.5799999833106995,Charging,22306777,null,null,null,null,,null,2017-05-22 19:14:36 UTC,2017-05-23 00:56:08 UTC,0,WIFI,UNKNOWN,UNKNOWN,null,null,null,null,null,null,null,null,null,ec:43:f6:28:6e:5c,Zy_private_9AU3CV,2462,51.95388583,4.59469887,141.0,116.0,null,Netherlands,South Holland,Capelle aan den IJssel,u15r89cv24,2017-05-22 21:59:46 UTC,null,null,null,null,null,null,null,72,-60,71060,121635,null,null,null,null,null
samsung,Samsung,SM-T535,Galaxy Tab 4 10.1,ANDROID50,Android 5.0,de,DE,1280,800,12684939264,10179670016,2505269248,1418780672,1070850048,347930624,0.76,1.0,Full,342138299,null,null,262,2,,Vodafone,2017-07-12 01:54:14 UTC,2017-07-12 02:04:09 UTC,7200,WIFI,UNKNOWN,UNKNOWN,null,null,null,null,null,null,null,null,null,34:31:c4:0a:ed:4f,Ralf_E-5GHz,5180,51.4165868,6.9961834,null,19.0,null,Germany,North Rhine-Westphalia,Essen,u1hux0n7qf,2017-07-12 02:04:09 UTC,null,null,null,null,null,null,null,null,null,20213,56415,null,null,null,null,null
samsung,Samsung,GT-I9190,Galaxy S4 Mini,ANDROID44,Android 4.4,tr,null,960,540,7297966080,6681067520,616898560,1396375552,1097777152,298598400,0.96,0.9700000286102295,Unplugged,283798493,null,null,null,null,null,null,2017-06-05 14:28:16 UTC,2017-06-05 14:30:43 UTC,10800,UNKNOWN,UNKNOWN,UNKNOWN,null,null,null,null,null,null,null,null,null,null,null,null,39.9525494,32.795093,null,20.0,null,Turkey,Ankara,Yenimahalle,sxp7630smp,2017-06-05 14:30:43 UTC,null,null,null,null,null,null,null,null,-81,0,0,null,null,null,null,null
samsung,Samsung,GT-N7100,Galaxy Note II,ANDROID44,Android 4.4,de,DE,1280,720,27078975488,17817350144,9261625344,1871777792,1605357568,266420224,0.33,0.7200000286102295,Unplugged,32970253,1.0313026905059814,275.0147399902344,262,3,,E-Plus,2017-08-20 18:05:17 UTC,2017-08-20 18:05:34 UTC,7200,WIFI,UNKNOWN,UNKNOWN,null,null,null,null,null,null,null,null,null,c0:62:6b:85:89:9f,Telekom_LH-Lounge,5220,50.04985793527087,8.56957663470859,100.36673026650486,128.0,null,Germany,Hesse,Frankfurt,u0yhep21t9,2017-08-20 18:05:17 UTC,null,null,null,null,null,null,null,81,-79,5138,1243,null,null,null,null,null
samsung,Samsung,GT-P5210,Galaxy Tab 3 10.1,ANDROID44,Android 4.4,fr,FR,1280,800,44167360512,8863846400,35303514112,971792384,722595840,249196544,0.3,0.9300000071525574,Unplugged,33500922,1.1975414752960205,1.963672399520874,null,null,,null,2017-05-17 05:15:31 UTC,2017-05-18 02:01:20 UTC,7200,WIFI,UNKNOWN,UNKNOWN,null,null,null,null,null,null,null,null,null,00:37:b7:7d:7b:76,Livebox-7B76,2462,49.21800649319509,6.189709219565013,219.27207206570571,192.0,null,France,Alsace-Champagne-Ardenne-Lorraine,null,u0sruzg5wt,2017-05-17 14:30:17 UTC,null,null,null,null,null,null,null,72,-62,66537,138799,null,null,null,null,null
samsung,Samsung,GT-P5210,Galaxy Tab 3 10.1,ANDROID44,Android 4.4,fr,FR,1280,800,12455276544,8916807680,3538468864,971792384,842518528,129273856,0.67,0.6399999856948853,Unplugged,2329832310,1.6791192293167114,null,null,null,,null,2017-07-10 19:29:52 UTC,2017-07-11 03:53:14 UTC,0,WIFI,UNKNOWN,UNKNOWN,null,null,null,null,null,null,null,null,null,40:c7:29:e2:08:3e,Livebox-083E,2412,47.18580716882572,-2.1495640523307484,86.65907203733124,8.0,null,France,Pays de la Loire,null,gbqkrjftpx,2017-07-10 19:29:52 UTC,null,null,null,null,null,null,null,52,-69,21326,6269,null,null,null,null,null
samsung,Samsung,SM-G610F,Galaxy J7 Prime,ANDROID60,Android 6.0,tr,null,1920,1080,3063226368,2840866816,222359552,2965757952,1739431936,1226326016,0.24,0.46000000834465027,Unplugged,526661781,null,null,null,null,null,null,2017-04-07 21:04:13 UTC,2017-04-07 21:06:39 UTC,10800,WIFI,UNKNOWN,UNKNOWN,null,null,null,null,null,null,null,null,null,50:67:f0:9b:f8:d3,ZyXEL8455let,null,40.0662739,32.9707383,null,18.777000427246094,null,Turkey,Ankara,Pursaklar,sxp7ymbdcy,2017-04-07 21:06:39 UTC,null,null,null,null,null,null,null,null,null,315897,49631,null,null,null,null,null
samsung,Samsung,SM-G935F,Galaxy S7 Edge,ANDROID70,Android 7.0,tr,null,1920,1080,4403081216,4166885376,236195840,3705475072,2599022592,1106452480,0.72,0.5799999833106995,Unplugged,420419262,null,null,null,null,null,null,2017-05-04 19:01:55 UTC,2017-05-04 19:22:35 UTC,7200,WIFI,UNKNOWN,UNKNOWN,null,null,null,null,null,null,null,null,null,9c:97:26:8a:bf:ff,Telenor8ABFFF,null,55.8447732,9.8406977,null,20.0,null,Denmark,Central Jutland,Horsens,u1yvxyjz2u,2017-05-04 19:22:35 UTC,null,null,null,null,null,null,null,null,-37,191181,942370,-102,-8,2,14,6
samsung,Samsung,SM-G935F,Galaxy S7 Edge,ANDROID70,Android 7.0,en,GB,1920,1080,26393780224,15923187712,10470592512,3705470976,3007913984,697556992,0.51,1.0,Full,3554173890,null,null,234,10,,O2,2017-09-02 23:31:30 UTC,2017-09-03 03:21:30 UTC,3600,WIFI,UNKNOWN,UNKNOWN,null,null,null,null,null,null,null,null,null,e4:f4:c6:7c:2a:f0,VM736212-2G,2412,56.0080494,-3.7938132,null,800.0,null,United Kingdom,Scotland,Falkirk,gcvq9evqt9,2017-09-03 02:03:01 UTC,null,null,null,null,null,null,null,130,-52,20371,98095,null,null,null,null,null
samsung,Samsung,SM-J500FN,Galaxy J5,ANDROID60,Android 6.0,nl,NL,1280,720,13151805440,5282115584,7869689856,1450295296,1154306048,295989248,0.62,1.0,Full,1118809540,null,null,204,16,T-Mobile  NL,T-Mobile,2017-07-22 04:44:56 UTC,2017-07-22 06:22:19 UTC,7200,WIFI,UNKNOWN,UNKNOWN,null,null,null,null,null,null,null,null,null,96:f6:52:f6:04:8b,De Kuunderthoeve free,2437,51.4939479,5.7538708,null,104.0,null,Netherlands,North Brabant,null,u1hhfyjvfz,2017-07-22 04:46:27 UTC,null,null,null,null,null,null,null,1,-87,19493,68070,null,null,null,null,null
Apple,Apple,"iPhone9,4",null,IOS102,iOS 10.2,null,null,568,320,121687703552,32342671360,89345032192,3143630848,2129477632,1014153216,0.018000000000000002,0.23000000417232513,Unplugged,null,0.137995,214.39151,null,null,null,null,2017-03-25 16:59:30 UTC,2017-03-25 17:24:48 UTC,0,WIFI,UNKNOWN,UNKNOWN,null,null,null,null,null,null,null,null,null,00:8a:ae:9a:b0:79,BTHub5-X3F2,null,51.594722,-0.307103,46.763939,32.0,3.0,United Kingdom,England,London,gcpv90835c,2017-03-25 17:24:38 UTC,null,null,null,null,null,null,null,null,null,218,0,null,null,null,null,null
LENOVO,Lenovo,Lenovo A5000,A5000,ANDROID50,Android 5.0,ro,RO,1280,720,7796998144,5795749888,2001248256,1002995712,721141760,281853952,0.35,0.3400000035762787,NotCharging,413817695,null,null,226,1,,Vodafone,2017-08-18 05:56:23 UTC,2017-08-18 05:56:26 UTC,10800,WIFI,UNKNOWN,UNKNOWN,null,null,null,null,null,null,null,null,null,b8:55:10:b3:1e:5c,KNZ,2462,43.9472136,28.6218193,null,3970.0,null,Romania,Constanta,null,sxu6523g0d,2017-08-18 05:56:23 UTC,null,null,null,null,null,null,null,null,-53,0,0,null,null,null,null,null
Wileyfox,Wileyfox,Wileyfox Swift,Wileyfox Swift,ANDROID51,Android 5.1,en,null,1280,720,14512320512,8335785984,6176534528,1980592128,1457991680,522600448,0.99,0.3199999928474426,Unplugged,609599062,null,null,null,null,null,null,2017-09-07 17:01:35 UTC,2017-09-07 17:26:04 UTC,3600,WIFI,UNKNOWN,UNKNOWN,null,null,null,null,null,null,null,null,null,f0:3e:90:29:73:d8,_The Cloud,null,53.2829706,-3.0637486,null,19.1299991607666,null,United Kingdom,England,Neston,gcmz47c5c3,2017-09-07 17:26:04 UTC,null,null,null,null,null,null,null,null,null,117504,219513,null,null,null,null,null
ZTE,ZTE,ZTE BLADE A510,Blade,ANDROID60,Android 6.0,ru,RU,1280,720,19774251008,17070551040,2703699968,972509184,749465600,223043584,0.4,0.8999999761581421,NotCharging,136765943,null,null,257,4,life:) BY,life:),2017-08-16 08:09:31 UTC,2017-08-16 08:09:37 UTC,10800,UNKNOWN,UNKNOWN,UNKNOWN,257,4,6100,42727469,null,life:),null,null,null,null,null,null,54.0175119,31.7206485,null,2299.0,null,Belarus,Mahilyow,null,u9we3cd6bd,2017-08-16 08:09:37 UTC,null,null,null,null,null,null,null,null,null,0,0,null,null,null,null,null
Apple,Apple,iPhone 5S GSM + CDMA,iPhone 5S GSM + CDMA,IOS102,iOS 10.2,tr,null,568,320,12030660608,11660546048,370114560,1048576000,948961280,99614720,0.171,0.800000011920929,Charging,12849860,null,200.561615,null,null,null,null,2017-04-05 13:18:08 UTC,2017-04-05 13:19:18 UTC,10800,WIFI,UNKNOWN,UNKNOWN,null,null,null,null,null,null,null,null,null,c0:4a:00:61:29:be,asli,null,36.209499,36.159577,61.508728,30.0,24.0,Turkey,Hatay,Antakya,sy3tyzdxe5,2017-04-05 13:19:18 UTC,null,null,null,null,null,null,null,null,null,5896,21905,null,null,null,null,null
Sony,Sony,F3311,Xperia E5,ANDROID60,Android 6.0,fr,FR,1280,720,15363883008,10666622976,4697260032,1486237696,1105911808,380325888,0.68,0.9700000286102295,NotCharging,227134769,null,null,208,1,Orange F,Orange,2017-09-13 06:20:08 UTC,2017-09-13 06:20:15 UTC,3600,MOBILE,UNKNOWN,UNKNOWN,234,30,2553,34516,,EE,null,null,null,null,null,null,51.6312976,-4.9785926,null,20.0,null,United Kingdom,Wales,Pembrokeshire,gchmwxnwn7,2017-09-13 06:20:08 UTC,null,null,null,null,null,null,null,null,null,0,0,null,null,null,null,null
samsung,Samsung,SM-G950F,null,ANDROID70,Android 7.0,en,GB,2220,1080,185792266240,140746887168,45045379072,3627438080,2737770496,889667584,0.33,0.8799999952316284,Unplugged,102561302,null,null,234,30,,EE,2017-07-23 10:33:09 UTC,2017-07-23 10:34:30 UTC,3600,MOBILE,UNKNOWN,UNKNOWN,234,30,11302,6601474,,EE,0,null,null,null,null,null,52.4117092,-1.778384,null,39.0,null,United Kingdom,England,Solihull,gcqdpt302d,2017-07-23 10:33:09 UTC,null,null,null,null,null,null,null,null,-97,312,312,null,null,null,null,null
